company,filing_type,older_year,newer_year,older_file,newer_file,top_increase,top_decrease,regulation,financial,market,operations,technology
AAPL,10-K,2014,2015,AAPL_10-K_2014-10-27_0001193125-14-383437.html,AAPL_10-K_2015-10-28_0001193125-15-356351.html,market,technology,0,0,2,0,-1
AAPL,10-K,2015,2016,AAPL_10-K_2015-10-28_0001193125-15-356351.html,AAPL_10-K_2016-10-26_0001628280-16-020309.html,regulation,regulation,0,0,0,0,0
AAPL,10-K,2016,2017,AAPL_10-K_2016-10-26_0001628280-16-020309.html,AAPL_10-K_2017-11-03_0000320193-17-000070.html,technology,regulation,0,0,0,0,1
AAPL,10-K,2017,2018,AAPL_10-K_2017-11-03_0000320193-17-000070.html,AAPL_10-K_2018-11-05_0000320193-18-000145.html,regulation,technology,0,0,0,0,-1
AAPL,10-K,2018,2019,AAPL_10-K_2018-11-05_0000320193-18-000145.html,AAPL_10-K_2019-10-31_0000320193-19-000119.html,regulation,market,-1,-2,-6,-3,-3
AAPL,10-K,2019,2020,AAPL_10-K_2019-10-31_0000320193-19-000119.html,AAPL_10-K_2020-10-30_0000320193-20-000096.html,technology,regulation,0,0,0,0,1
AAPL,10-K,2020,2021,AAPL_10-K_2020-10-30_0000320193-20-000096.html,AAPL_10-K_2021-10-29_0000320193-21-000105.html,regulation,market,1,0,-1,0,0
AAPL,10-K,2021,2022,AAPL_10-K_2021-10-29_0000320193-21-000105.html,AAPL_10-K_2022-10-28_0000320193-22-000108.html,market,regulation,-1,0,1,0,-1
AAPL,10-K,2022,2023,AAPL_10-K_2022-10-28_0000320193-22-000108.html,AAPL_10-K_2023-11-03_0000320193-23-000106.html,market,regulation,0,0,1,0,0
AAPL,10-K,2023,2024,AAPL_10-K_2023-11-03_0000320193-23-000106.html,AAPL_10-K_2024-11-01_0000320193-24-000123.html,regulation,regulation,0,0,0,0,0
AAPL,10-K,2024,2025,AAPL_10-K_2024-11-01_0000320193-24-000123.html,AAPL_10-K_2025-10-31_0000320193-25-000079.html,market,regulation,0,0,5,0,2
ABBV,10-K,2014,2015,ABBV_10-K_2014-02-21_0001047469-14-001154.html,ABBV_10-K_2015-02-20_0001047469-15-000995.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2015,2016,ABBV_10-K_2015-02-20_0001047469-15-000995.html,ABBV_10-K_2016-02-19_0001047469-16-010239.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2016,2017,ABBV_10-K_2016-02-19_0001047469-16-010239.html,ABBV_10-K_2017-02-17_0001551152-17-000004.html,financial,regulation,0,1,0,1,0
ABBV,10-K,2017,2018,ABBV_10-K_2017-02-17_0001551152-17-000004.html,ABBV_10-K_2018-02-16_0001551152-18-000014.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2018,2019,ABBV_10-K_2018-02-16_0001551152-18-000014.html,ABBV_10-K_2019-02-27_0001551152-19-000008.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2019,2020,ABBV_10-K_2019-02-27_0001551152-19-000008.html,ABBV_10-K_2020-02-21_0001551152-20-000007.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2020,2021,ABBV_10-K_2020-02-21_0001551152-20-000007.html,ABBV_10-K_2021-02-19_0001551152-21-000008.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2021,2022,ABBV_10-K_2021-02-19_0001551152-21-000008.html,ABBV_10-K_2022-02-18_0001551152-22-000007.html,regulation,regulation,0,0,0,0,0
ABBV,10-K,2022,2023,ABBV_10-K_2022-02-18_0001551152-22-000007.html,ABBV_10-K_2023-02-17_0001551152-23-000011.html,regulation,regulation,0,0,0,0,0
