company,filing_type,older_year,newer_year,older_file,newer_file,top_increase,top_decrease,regulation,financial,market,operations,technology
AAPL,10-Q,2014,2014,AAPL_10-Q_2014-01-28_0001193125-14-024487.html,AAPL_10-Q_2014-04-24_0001193125-14-157311.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2014,2014,AAPL_10-Q_2014-04-24_0001193125-14-157311.html,AAPL_10-Q_2014-07-23_0001193125-14-277160.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2014,2015,AAPL_10-Q_2014-07-23_0001193125-14-277160.html,AAPL_10-Q_2015-01-28_0001193125-15-023697.html,financial,technology,0,2,0,0,-1
AAPL,10-Q,2015,2015,AAPL_10-Q_2015-01-28_0001193125-15-023697.html,AAPL_10-Q_2015-04-28_0001193125-15-153166.html,regulation,financial,0,-2,0,0,0
AAPL,10-Q,2015,2015,AAPL_10-Q_2015-04-28_0001193125-15-153166.html,AAPL_10-Q_2015-07-22_0001193125-15-259935.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2015,2016,AAPL_10-Q_2015-07-22_0001193125-15-259935.html,AAPL_10-Q_2016-01-27_0001193125-16-439878.html,regulation,financial,1,0,1,1,0
AAPL,10-Q,2016,2016,AAPL_10-Q_2016-01-27_0001193125-16-439878.html,AAPL_10-Q_2016-04-27_0001193125-16-559625.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2016,2016,AAPL_10-Q_2016-04-27_0001193125-16-559625.html,AAPL_10-Q_2016-07-27_0001628280-16-017809.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2016,2017,AAPL_10-Q_2016-07-27_0001628280-16-017809.html,AAPL_10-Q_2017-02-01_0001628280-17-000717.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2017,2017,AAPL_10-Q_2017-02-01_0001628280-17-000717.html,AAPL_10-Q_2017-05-03_0001628280-17-004790.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2017,2017,AAPL_10-Q_2017-05-03_0001628280-17-004790.html,AAPL_10-Q_2017-08-02_0000320193-17-000009.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2017,2018,AAPL_10-Q_2017-08-02_0000320193-17-000009.html,AAPL_10-Q_2018-02-02_0000320193-18-000007.html,regulation,operations,0,0,0,-1,0
AAPL,10-Q,2018,2018,AAPL_10-Q_2018-02-02_0000320193-18-000007.html,AAPL_10-Q_2018-05-02_0000320193-18-000070.html,technology,operations,0,0,0,-1,1
AAPL,10-Q,2018,2018,AAPL_10-Q_2018-05-02_0000320193-18-000070.html,AAPL_10-Q_2018-08-01_0000320193-18-000100.html,market,regulation,0,0,2,0,0
AAPL,10-Q,2018,2019,AAPL_10-Q_2018-08-01_0000320193-18-000100.html,AAPL_10-Q_2019-01-30_0000320193-19-000010.html,regulation,financial,1,0,0,0,0
AAPL,10-Q,2019,2019,AAPL_10-Q_2019-01-30_0000320193-19-000010.html,AAPL_10-Q_2019-05-01_0000320193-19-000066.html,financial,regulation,-1,0,-1,-1,0
AAPL,10-Q,2019,2019,AAPL_10-Q_2019-05-01_0000320193-19-000066.html,AAPL_10-Q_2019-07-31_0000320193-19-000076.html,regulation,financial,0,-2,-2,0,0
AAPL,10-Q,2019,2020,AAPL_10-Q_2019-07-31_0000320193-19-000076.html,AAPL_10-Q_2020-01-29_0000320193-20-000010.html,market,regulation,-2,1,2,-1,-1
AAPL,10-Q,2020,2020,AAPL_10-Q_2020-01-29_0000320193-20-000010.html,AAPL_10-Q_2020-05-01_0000320193-20-000052.html,operations,financial,0,-1,3,7,0
AAPL,10-Q,2020,2020,AAPL_10-Q_2020-05-01_0000320193-20-000052.html,AAPL_10-Q_2020-07-31_0000320193-20-000062.html,regulation,operations,1,0,0,-4,0
AAPL,10-Q,2020,2021,AAPL_10-Q_2020-07-31_0000320193-20-000062.html,AAPL_10-Q_2021-01-28_0000320193-21-000010.html,regulation,market,0,0,-2,0,0
AAPL,10-Q,2021,2021,AAPL_10-Q_2021-01-28_0000320193-21-000010.html,AAPL_10-Q_2021-04-29_0000320193-21-000056.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2021,2021,AAPL_10-Q_2021-04-29_0000320193-21-000056.html,AAPL_10-Q_2021-07-28_0000320193-21-000065.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2021,2022,AAPL_10-Q_2021-07-28_0000320193-21-000065.html,AAPL_10-Q_2022-01-28_0000320193-22-000007.html,operations,regulation,0,0,0,3,0
AAPL,10-Q,2022,2022,AAPL_10-Q_2022-01-28_0000320193-22-000007.html,AAPL_10-Q_2022-04-29_0000320193-22-000059.html,technology,regulation,0,0,0,0,1
AAPL,10-Q,2022,2022,AAPL_10-Q_2022-04-29_0000320193-22-000059.html,AAPL_10-Q_2022-07-29_0000320193-22-000070.html,financial,regulation,-1,1,0,0,-1
AAPL,10-Q,2022,2023,AAPL_10-Q_2022-07-29_0000320193-22-000070.html,AAPL_10-Q_2023-02-03_0000320193-23-000006.html,regulation,regulation,0,0,0,0,0
AAPL,10-Q,2023,2023,AAPL_10-Q_2023-02-03_0000320193-23-000006.html,AAPL_10-Q_2023-05-05_0000320193-23-000064.html,financial,operations,0,1,-2,-5,0
AAPL,10-Q,2023,2023,AAPL_10-Q_2023-05-05_0000320193-23-000064.html,AAPL_10-Q_2023-08-04_0000320193-23-000077.html,financial,regulation,0,1,0,0,0
AAPL,10-Q,2023,2024,AAPL_10-Q_2023-08-04_0000320193-23-000077.html,AAPL_10-Q_2024-02-02_0000320193-24-000006.html,regulation,financial,0,-3,0,0,0
