company,older_year,newer_year,older_file,newer_file,top_increase,top_decrease,regulation,financial,market,operations,technology
AAPL,2015,2016,AAPL_10-K_2015-10-28_0001193125-15-356351.html,AAPL_10-K_2016-10-26_0001628280-16-020309.html,regulation,regulation,0,0,0,0,0
AAPL,2016,2017,AAPL_10-K_2016-10-26_0001628280-16-020309.html,AAPL_10-K_2017-11-03_0000320193-17-000070.html,technology,regulation,0,0,0,0,1
AAPL,2017,2018,AAPL_10-K_2017-11-03_0000320193-17-000070.html,AAPL_10-K_2018-11-05_0000320193-18-000145.html,regulation,technology,0,0,0,0,-1
AAPL,2018,2019,AAPL_10-K_2018-11-05_0000320193-18-000145.html,AAPL_10-K_2019-10-31_0000320193-19-000119.html,market,operations,-1,-2,0,-3,-1
AAPL,2019,2020,AAPL_10-K_2019-10-31_0000320193-19-000119.html,AAPL_10-K_2020-10-30_0000320193-20-000096.html,regulation,market,0,0,-6,0,-1
AAPL,2020,2021,AAPL_10-K_2020-10-30_0000320193-20-000096.html,AAPL_10-K_2021-10-29_0000320193-21-000105.html,regulation,market,1,0,-1,0,0
AAPL,2021,2022,AAPL_10-K_2021-10-29_0000320193-21-000105.html,AAPL_10-K_2022-10-28_0000320193-22-000108.html,market,regulation,-1,0,1,0,-1
AAPL,2022,2023,AAPL_10-K_2022-10-28_0000320193-22-000108.html,AAPL_10-K_2023-11-03_0000320193-23-000106.html,market,regulation,0,0,1,0,0
AAPL,2023,2024,AAPL_10-K_2023-11-03_0000320193-23-000106.html,AAPL_10-K_2024-11-01_0000320193-24-000123.html,regulation,regulation,0,0,0,0,0
AAPL,2024,2025,AAPL_10-K_2024-11-01_0000320193-24-000123.html,AAPL_10-K_2025-10-31_0000320193-25-000079.html,market,regulation,0,0,5,0,2
AMZN,2021,2022,AMZN_10-K_2021-02-03_0001018724-21-000004.html,AMZN_10-K_2022-02-04_0001018724-22-000005.html,market,regulation,0,0,2,0,0
AMZN,2022,2023,AMZN_10-K_2022-02-04_0001018724-22-000005.html,AMZN_10-K_2023-02-03_0001018724-23-000004.html,regulation,operations,0,0,0,-1,0
AMZN,2023,2024,AMZN_10-K_2023-02-03_0001018724-23-000004.html,AMZN_10-K_2024-02-02_0001018724-24-000008.html,regulation,regulation,0,0,0,0,0
AMZN,2024,2025,AMZN_10-K_2024-02-02_0001018724-24-000008.html,AMZN_10-K_2025-02-07_0001018724-25-000004.html,regulation,regulation,0,0,0,0,0
AMZN,2025,2026,AMZN_10-K_2025-02-07_0001018724-25-000004.html,AMZN_10-K_2026-02-06_0001018724-26-000004.html,regulation,financial,2,0,0,0,0
AVGO,2018,2019,AVGO_10-K_2018-12-21_0001730168-18-000084.html,AVGO_10-K_2019-12-20_0001730168-19-000144.html,regulation,regulation,0,0,0,0,0
AVGO,2019,2020,AVGO_10-K_2019-12-20_0001730168-19-000144.html,AVGO_10-K_2020-12-18_0001730168-20-000226.html,regulation,regulation,0,0,0,0,0
AVGO,2020,2021,AVGO_10-K_2020-12-18_0001730168-20-000226.html,AVGO_10-K_2021-12-17_0001730168-21-000153.html,regulation,regulation,0,0,0,0,0
